Backbone,Method,Resolution,Epochs,Flowers,Pets,Dtd,Indoor67,CUB,Aircraft,Cars
DeiT-Tiny,super.,224,200,97.3,88.6,73.2,75.6,76.8,78.7,90.3
,init.,224,800,67.8,44.5,54.5,40.6,24.3,33.2,38.8
,(ours),224,800,83.4,59,61.8,56.1,45,46,73.7
,(ours),448,100,85.6,64.2,64.9,59.9,50.9,48.6,77.8
DeiT-Base,super.,224,200,97.7,91.4,74.9,78.1,81.9,82.8,92.6
,init.,224,800,67.3,48.4,46,44,27.7,30.1,33.3
,(ours),224,800,88.1,63.2,62.3,57.4,47.8,43.1,64.5
,(ours),448,100,90.6,67.2,67.3,61.7,54.3,46.6,70.7
PVTv2-B0,super.,224,200,98,90.5,75.9,76.7,81.4,88.3,92.6
,init.,224,800,90.3,80.5,57.7,66.3,66.6,74.8,87.9
,(ours),224,800,94.6,84.7,69.3,69.6,73.8,79.8,90.9
,(ours),448,100,95.9,88,73.2,73.7,77.6,83.3,92
PVTv2-B3,super.,224,200,98.7,93.6,78.1,80.8,85.5,91.7,94.4
,init.,224,800,90.5,83.4,64.5,67.5,66.2,85,89.9
,(ours),224,800,95.9,89.8,68.9,73.2,79,90.5,94
,(ours),448,100,96.7,91.9,71.8,76.3,82.8,91.8,94.3
T2T-ViT-7,super.,224,200,97.7,90.5,75.2,76.6,79,83.8,92.8
,init.,224,800,82.1,66.2,58.5,57.7,35.7,57.2,60.3
,(ours),224,800,90.8,75,64.7,66,59,71.4,89.9
,(ours),448,100,91.7,76.9,65.7,68.9,63.2,72.9,91.2
