,CUB,,,,Aircraft,,,,Cars,,,
,RN18,RN34,RN50,RN101,RN18,RN34,RN50,RN101,RN18,RN34,RN50,RN101
Baseline,82.45,84.86,85.72,86.24,91.51,92.33,92.94,93.06,88.27,89.53,90.31,90.46
Mixup,83.21,85.23,86.26,87.42,91.56,92.65,92.74,93.05,87.82,89.77,90.1,90.31
CutMix,83.4,85.81,86.78,87.5,92.24,93.28,93.42,93.25,88.78,90.19,91.12,91.18
Cutout,81.81,84.69,84.43,86.12,91.46,92.65,92.8,93.02,88.03,89.35,89.62,90.07
InPS,84.55,86.07,86.83,87.57,91.98,92.08,93.26,92.66,89.08,90.16,91.48,90.46
SnapMix,83.57,86.4,87.02,87.54,92.24,93.22,93.22,93.51,89.32,90.43,91.27,91.6
S3Mix,85.14,86.68,87.5,87.71,92.63,93.27,93.61,93.65,89.53,90.46,91.51,91.54
S3Mix+,85.43,86.83,87.52,87.97,92.95,93.31,93.75,93.92,89.8,90.76,91.6,91.81
