method,Aircraft,Cars,CUB,FLOPs,Params,NumImages,NumImagesUnique
DeiT-T (IN1k PT),84.7,87.2,82.1,7.1261,5.6759,385548900,1287161
DeiT-S (IN1k PT),88.1,90.7,85.8,22.5864,21.9685,385548900,1287161
DeiT-B (IN1k PT),90.3,92.9,88,78.5096,86.404,385548900,1287161
ViT-B (IN1k PT),90,92.5,90.8,78.5096,86.404,1278939780,14197122
R50-ViT-B (IN21k PT),92.4,94,91.3,94.4413,98.4955,1278939780,14197122
DeiT-T (IDMM),48.6,77.8,50.9,7.1261,5.6759,5394600,5994
PVTv2-B0 (IDMM),83.3,92,77.6,2.1156,3.4612,5394600,5994
PVTv2-B3 (IDMM),91.8,94.3,82.8,26.7439,44.8283,5394600,5994
T2T-ViT-7 (IDMM),72.9,91.2,63.2,6.1256,4.2552,5394600,5994
ViTFS-T/16 (Ours),92.2,94.7,85.8,7.5075,5.639,14385600,5994
