Method,Aircraft,,,,Cars,,,,CUB,,,
,RN18,RN34,RN50,RN101,RN18,RN34,RN50,RN101,RN18,RN34,RN50,RN101
Baseline,50.22,52.41,58.44,64.91,60.58,64.73,69.25,72.35,59.44,62.79,66.4,67.67
KD,58.67,56.04,58.76,66.11,72.14,64.83,71.83,76.12,64.98,64.88,70.84,71.98
RKD,53.47,55.18,57.63,64.67,60.58,64.38,71.87,74.63,63.15,64.78,70.09,71.33
CRD,53.35,56.23,58.77,66.39,60.87,65.79,72.02,75.32,61.84,66.12,72.83,72.55
OFD,54.31,55.67,58.63,65.67,61.72,65.63,71.97,74.83,64.11,65.83,72.71,71.97
ReviewKD,54.69,58.79,67.65,68.89,61.37,73.12,84.82,85.72,63.91,67.62,73.81,75.52
DKD,58.04,60.12,61.89,68.54,75.43,78.96,85.04,84.89,70.97,68.13,76.02,75.68
SnapMix,58.54,61.79,64.07,68.89,71.02,76.84,82.13,83.96,67.89,67.13,70.78,72.59
DADKD,65.61,68.52,72.63,78.98,80.61,85.34,87.74,88.19,73.31,69.9,78.22,80.33
DSSD,66.32,70.01,73.01,78.99,81.52,86.24,88.12,89.13,74.13,70.21,79.13,81.07
TGDA,86.95,85.45,90.19,88.57,91.18,91.03,92.96,92.19,77.68,78.81,82.74,81.48
TGDA+LRN,89.03,90.67,91.3,91.81,92.74,93.21,93.57,93.74,80.45,82.48,82.65,84.14
