Method,Aircraft,Cars,CUB,,,,,,
Baseline,88.27,91.51,82.45,,,,,,
Mixup,87.82,91.56,83.21,,,,,,
CutMix,88.78,92.24,83.4,,,,,,
Cutout,88.03,91.46,81.81,,,,,,
InPS,89.08,91.98,84.55,,,,,,
SnapMix,89.32,92.24,83.57,,,,,,
S3Mix,89.53,92.63,85.14,,,,,,
CEKD,91.29,93.87,85.22,,,,,,
CE Loss,79.90,79.12,45.70,,,,,,
Center Loss,83.86,81.84,50.26,,,,,,
A-softmax Loss,82.42,82.15,49.67,,,,,,
Focal Loss,80.47,79.75,47.67,,,,,,
COCO Loss,80.02,72.38,46.01,,,,,,
LGM Loss,80.98,74.37,44.91,,,,,,
LMCL Loss,78.52,71.17,46.01,,,,,,
MC Loss,85.57,87.47,59.41,,,,,,
Cosine Loss,,85,68,,,,,,
TGDA,93.73,94.86,87.49,,,,,,
