Method,Aircraft,Cars,CUB,FLOPs,Parameters (M),Train Images
DeiT-T (IN1k PT),84.7,87.2,82.1,7.13,5.68,1287161
DeiT-S (IN1k PT),88.1,90.7,85.8,22.59,21.97,1287161
DeiT-B (IN1k PT),90.3,92.9,88,78.51,86.4,1287161
ViT-B (IN1k PT),90,92.5,90.8,78.51,86.4,14197122
DeiT-T (IDMM),48.6,77.8,50.9,7.13,5.68,5994
"ViTFS-N* (TGDA, Ours) (448-224)",85.1,90.4,70.9,0.19,0.64,5994
"ViTFS-N (TGDA, Ours)",88.2,91.2,79.4,0.53,0.64,5994
"ViTFS-M* (TGDA, Ours) (448-224)",88.8,92.4,78.3,0.65,2.52,5994
"ViTFS-M (TGDA, Ours)",91.3,93.9,83.3,2.07,2.52,5994
"ViTFS-T* (TGDA, Ours) (448-224)",90.5,93.9,81.2,1.18,5.64,5994
"ViTFS-T (TGDA, Ours)",92.2,94.5,86.3,7.51,5.64,5994
